name, codename, country, iata, icao, type
Polk Army Air Field,Fort Polk,United States,POE,KPOE,airport
Eielson Air Force Base,Fairbanks,United States,EIL,PAEI,airport
Range Regional Airport,Hibbing,United States,HIB,KHIB,airport
Angelina County Airport,Lufkin,United States,LFK,KLFK,airport
Midland International Airport,Midland,United States,MAF,KMAF,airport
Austin Straubel International Airport,Green Bay,United States,GRB,KGRB,airport
Ardmore Municipal Airport,Ardmore,United States,ADM,KADM,airport
Mc Guire Air Force Base,Wrightstown,United States,WRI,KWRI,airport
Augusta Regional At Bush Field,Bush Field,United States,AGS,KAGS,airport
Sloulin Field International Airport,Williston,United States,ISN,KISN,airport
Bill & Hillary Clinton National Airport/Adams Field,Little Rock,United States,LIT,KLIT,airport
Stewart International Airport,Newburgh,United States,SWF,KSWF,airport
Baudette International Airport,Baudette,United States,BDE,KBDE,airport
Sacramento Executive Airport,Sacramento,United States,SAC,KSAC,airport
Homer Airport,Homer,United States,HOM,PAHO,airport
Waynesville-St. Robert Regional Forney field,Fort Leonardwood,United States,TBN,KTBN,airport
Dobbins Air Reserve Base,Marietta,United States,MGE,KMGE,airport
Fairchild Air Force Base,Spokane,United States,SKA,KSKA,airport
Roscommon County - Blodgett Memorial Airport,Houghton Lake,United States,HTL,KHTL,airport
Tyndall Air Force Base,Panama City,United States,PAM,KPAM,airport
Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,DFW,KDFW,airport
Melbourne International Airport,Melbourne,United States,MLB,KMLB,airport
McChord Air Force Base,Tacoma,United States,TCM,KTCM,airport
Austin Bergstrom International Airport,Austin,United States,AUS,KAUS,airport
Rickenbacker International Airport,Columbus,United States,LCK,KLCK,airport
Sawyer International Airport,Gwinn,United States,MQT,KSAW,airport
McGhee Tyson Airport,Knoxville,United States,TYS,KTYS,airport
Hood Army Air Field,Fort Hood,United States,HLR,KHLR,airport
St Louis Lambert International Airport,St. Louis,United States,STL,KSTL,airport
Millville Municipal Airport,Millville,United States,MIV,KMIV,airport
Sheppard Air Force Base-Wichita Falls Municipal Airport,Wichita Falls,United States,SPS,KSPS,airport
Cincinnati Municipal Airport Lunken Field,Cincinnati,United States,LUK,KLUK,airport
Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,KATL,airport
Castle Airport,Merced,United States,MER,KMER,airport
Mc Clellan Airfield,Sacramento,United States,MCC,KMCC,airport
